G,iteration,avg_fitness,restricted
0.0333,0,1.0078586796590647,True
0.0333,1,1.0207536694936707,True
0.0333,2,1.02554201488148,True
0.0333,3,1.0241692910419538,True
0.0333,4,1.033456740949443,True
0.0333,5,1.035300754551586,True
0.0333,6,1.0378895925789096,True
0.0333,7,1.0388466432546033,True
0.0333,8,1.039207771496832,True
0.0333,9,1.0376893335111088,True
0.0333,10,1.0402446184539527,True
0.0333,11,1.041056233357215,True
0.0333,12,1.0403558862490343,True
0.0333,13,1.0415266438358963,True
0.0333,14,1.0406420106226917,True
0.0333,15,1.039585294066844,True
0.1333,0,1.0032102089720416,True
0.1333,1,1.0193146808622908,True
0.1333,2,1.019089460459711,True
0.1333,3,1.028838040166871,True
0.1333,4,1.0347285250716483,True
0.1333,5,1.0331610037318828,True
0.1333,6,1.0346668633741738,True
0.1333,7,1.0354636749018378,True
0.1333,8,1.0361392231669098,True
0.1333,9,1.033301955382773,True
0.1333,10,1.0359834329294133,True
0.1333,11,1.033646623938076,True
0.1333,12,1.036093396249153,True
0.1333,13,1.0347460430714346,True
0.1333,14,1.0337165225492584,True
0.1333,15,1.033791782863448,True
0.1667,0,1.0060342146131638,True
0.1667,1,1.0178301594188766,True
0.1667,2,1.0283940364258846,True
0.1667,3,1.02741618382161,True
0.1667,4,1.0305783516457423,True
0.1667,5,1.0349550082809338,True
0.1667,6,1.0336946041178918,True
0.1667,7,1.0380583373123473,True
0.1667,8,1.0377957573981251,True
0.1667,9,1.0360606087669644,True
0.1667,10,1.0344760898199403,True
0.1667,11,1.0337946965092986,True
0.1667,12,1.0314032917167257,True
0.1667,13,1.0363029075047676,True
0.1667,14,1.035604786974215,True
0.1667,15,1.0352535170220714,True
0.2,0,1.0093155597419288,True
0.2,1,1.0167987050657015,True
0.2,2,1.0174080890077568,True
0.2,3,1.0229346687036407,True
0.2,4,1.0294778100140332,True
0.2,5,1.030009976165807,True
0.2,6,1.0339422324951333,True
0.2,7,1.0353085864310976,True
0.2,8,1.031457251632348,True
0.2,9,1.0348681331396867,True
0.2,10,1.0335013674591984,True
0.2,11,1.0351748783041355,True
0.2,12,1.0360332634013685,True
0.2,13,1.0320679019767804,True
0.2,14,1.0358000359180608,True
0.2,15,1.0371697445360792,True
0.5,0,1.0096891011444484,True
0.5,1,1.0180012714262234,True
0.5,2,1.0278463039645316,True
0.5,3,1.0252304582668808,True
0.5,4,1.0289446689800597,True
0.5,5,1.0257848605004942,True
0.5,6,1.0280431927773483,True
0.5,7,1.0244755065752678,True
0.5,8,1.0254798087539925,True
0.5,9,1.0270948348850095,True
0.5,10,1.0253695880961886,True
0.5,11,1.024161814278663,True
0.5,12,1.026802479536713,True
0.5,13,1.0232396573029239,True
0.5,14,1.032268125097351,True
0.5,15,1.026765925353969,True
0.0333,0,1.0395,False
0.0333,1,1.0393999999999999,False
0.0333,2,1.0393590909090908,False
0.0333,3,1.0392363636363635,False
0.0333,4,1.0391227272727273,False
0.0333,5,1.0390318181818183,False
0.0333,6,1.0389090909090908,False
0.0333,7,1.0388454545454544,False
0.0333,8,1.0387454545454544,False
0.0333,9,1.038668181818182,False
0.0333,10,1.0385863636363635,False
0.0333,11,1.038486363636364,False
0.0333,12,1.0384045454545452,False
0.0333,13,1.0383181818181817,False
0.0333,14,1.0382272727272726,False
0.0333,15,1.038172727272727,False
0.1333,0,1.041159090909091,False
0.1333,1,1.043381818181818,False
0.1333,2,1.0445909090909091,False
0.1333,3,1.0455318181818183,False
0.1333,4,1.0461045454545455,False
0.1333,5,1.0474545454545454,False
0.1333,6,1.047,False
0.1333,7,1.046190909090909,False
0.1333,8,1.0472272727272727,False
0.1333,9,1.0475181818181818,False
0.1333,10,1.048090909090909,False
0.1333,11,1.047309090909091,False
0.1333,12,1.0480818181818181,False
0.1333,13,1.0486863636363635,False
0.1333,14,1.0492136363636362,False
0.1333,15,1.048031818181818,False
0.1667,0,1.0408863636363634,False
0.1667,1,1.0425358851674642,False
0.1667,2,1.0451100478468898,False
0.1667,3,1.0446267942583731,False
0.1667,4,1.0454449760765552,False
0.1667,5,1.04544019138756,False
0.1667,6,1.0462583732057416,False
0.1667,7,1.0469712918660286,False
0.1667,8,1.0464066985645932,False
0.1667,9,1.047909090909091,False
0.1667,10,1.0474641148325357,False
0.1667,11,1.0484593301435408,False
0.1667,12,1.0472344497607655,False
0.1667,13,1.0481052631578947,False
0.1667,14,1.0493062200956937,False
0.1667,15,1.0490047846889952,False
0.2,0,1.0429409090909092,False
0.2,1,1.045290909090909,False
0.2,2,1.046481818181818,False
0.2,3,1.0455,False
0.2,4,1.0484545454545455,False
0.2,5,1.0502318181818182,False
0.2,6,1.0487772727272726,False
0.2,7,1.0492454545454548,False
0.2,8,1.0492454545454546,False
0.2,9,1.0508318181818184,False
0.2,10,1.049577272727273,False
0.2,11,1.0503227272727274,False
0.2,12,1.0508363636363636,False
0.2,13,1.0503954545454544,False
0.2,14,1.0503545454545455,False
0.2,15,1.0518909090909092,False
0.5,0,1.040309090909091,False
0.5,1,1.0456409090909091,False
0.5,2,1.0478181818181818,False
0.5,3,1.0472227272727272,False
0.5,4,1.0478999999999998,False
0.5,5,1.0473681818181817,False
0.5,6,1.0464909090909091,False
0.5,7,1.0486272727272727,False
0.5,8,1.0453727272727271,False
0.5,9,1.0480136363636363,False
0.5,10,1.0495363636363637,False
0.5,11,1.048140909090909,False
0.5,12,1.0488727272727272,False
0.5,13,1.047090909090909,False
0.5,14,1.0469045454545456,False
0.5,15,1.0466454545454547,False
