ratio,test_accuracy,avg_bag_size,avg_tree_depth,restricted
0.25,74.02597402597402,122.52631578947368,7.315789473684211,True
0.5,72.07792207792207,240.73684210526315,8.0,True
0.75,75.97402597402598,366.89473684210526,8.0,True
1,74.67532467532467,441.7368421052632,8.0,True
0.25,75.32467532467533,142.1578947368421,8.736842105263158,False
0.5,74.67532467532467,273.63157894736844,11.368421052631579,False
0.75,76.62337662337663,405.2105263157895,11.947368421052632,False
1,75.32467532467533,526.6842105263158,12.421052631578947,False
