K,test_accuracy,avg_bag_size,restricted
1000,75.97402597402598,470.0,True
2000,72.07792207792207,486.8421052631579,True
10000,75.97402597402598,454.05263157894734,True
20000,74.02597402597402,493.7368421052632,True
1000,74.02597402597402,551.3157894736842,False
2000,72.72727272727273,559.2631578947369,False
10000,71.42857142857143,560.2105263157895,False
20000,72.72727272727273,551.7894736842105,False
