nbit,model,n_bags,mean_train_accuracy,sd_train_accuracy,mean_test_accuracy,sd_test_accuracy
6,BaggingClassifier,5,0.8346405228758171,0.04103097023717518,0.07692307692307691,0.05617667256463243
6,RandomForestClassifier,5,0.8398692810457518,0.037914130751041,0.04615384615384614,0.058245213803079725
6,ExtraTreesClassifier,5,1.0,0.0,0.005128205128205128,0.019187986598840728
6,EvoBagging,5,0.8895424836601309,0.022346824833044114,0.06666666666666668,0.05523245956035389
6,BaggingClassifier,10,0.9084967320261439,0.03662464242123373,0.0641025641025641,0.05646850139883395
6,RandomForestClassifier,10,0.8941176470588237,0.033429312032795866,0.03846153846153846,0.038461538461538464
6,ExtraTreesClassifier,10,1.0,0.0,0.015384615384615385,0.03076923076923077
6,EvoBagging,10,0.9470588235294117,0.02328302370007436,0.07692307692307693,0.0595843591724218
6,BaggingClassifier,15,0.9509803921568628,0.03069112910293829,0.04358974358974359,0.047349193109280485
6,RandomForestClassifier,15,0.9405228758169935,0.026053766572542165,0.025641025641025644,0.04134491152973615
6,ExtraTreesClassifier,15,1.0,0.0,0.002564102564102564,0.013808114890088471
6,EvoBagging,15,0.9856209150326798,0.013330769970177214,0.05128205128205128,0.05378506913693084
6,BaggingClassifier,20,0.9647058823529413,0.02342022597015543,0.04615384615384615,0.05102499677469846
6,RandomForestClassifier,20,0.9620915032679739,0.03076758770180345,0.02564102564102564,0.04134491152973615
6,ExtraTreesClassifier,20,1.0,0.0,0.010256410256410256,0.026148818018424544
6,EvoBagging,20,0.9941176470588236,0.010313551528143472,0.05128205128205128,0.041344911529736156
6,BaggingClassifier,25,0.9738562091503269,0.021077798034767444,0.051282051282051294,0.04998356074261007
6,RandomForestClassifier,25,0.977124183006536,0.019662233930054014,0.02564102564102564,0.03626188621469475
6,ExtraTreesClassifier,25,1.0,0.0,0.0,0.0
6,EvoBagging,25,0.9986928104575163,0.007039431120437254,0.02564102564102564,0.041344911529736156
6,BaggingClassifier,30,0.9869281045751634,0.018486451795726746,0.01794871794871795,0.03811812499312438
6,RandomForestClassifier,30,0.9823529411764707,0.0177917092664264,0.020512820512820513,0.039390491014710816
6,ExtraTreesClassifier,30,1.0,0.0,0.0,0.0
6,EvoBagging,30,1.0,0.0,0.04615384615384615,0.05824521380307973
6,BaggingClassifier,35,0.9934640522875817,0.011691858705881257,0.028205128205128202,0.04205440888937621
6,RandomForestClassifier,35,0.9901960784313726,0.012139984066017464,0.010256410256410256,0.026148818018424544
6,ExtraTreesClassifier,35,1.0,0.0,0.0,0.0
6,EvoBagging,35,1.0,0.0,0.04358974358974359,0.047349193109280485
6,BaggingClassifier,40,0.9934640522875817,0.010538899017383738,0.035897435897435895,0.03837597319768145
6,RandomForestClassifier,40,0.9934640522875817,0.012740907640273167,0.020512820512820513,0.03401666451646564
6,ExtraTreesClassifier,40,1.0,0.0,0.002564102564102564,0.013808114890088471
6,EvoBagging,40,0.9993464052287582,0.003519715560218637,0.04102564102564102,0.047557017925619
6,BaggingClassifier,45,0.9980392156862745,0.005882352941176483,0.01794871794871795,0.03253481420628082
6,RandomForestClassifier,45,0.9967320261437909,0.007307411691175799,0.007692307692307693,0.023076923076923078
6,ExtraTreesClassifier,45,1.0,0.0,0.0,0.0
6,EvoBagging,45,1.0,0.0,0.02820512820512821,0.04650860806978732
6,BaggingClassifier,50,0.9954248366013072,0.009716384802168965,0.02564102564102564,0.04134491152973615
6,RandomForestClassifier,50,0.9967320261437909,0.008889850005709441,0.005128205128205128,0.019187986598840728
6,ExtraTreesClassifier,50,1.0,0.0,0.0,0.0
6,EvoBagging,50,1.0,0.0,0.03846153846153846,0.0516015687115336
6,BaggingClassifier,55,0.9986928104575163,0.004891055407547646,0.007692307692307693,0.023076923076923085
6,RandomForestClassifier,55,0.9967320261437909,0.007307411691175799,0.010256410256410256,0.02614881801842454
6,ExtraTreesClassifier,55,1.0,0.0,0.0,0.0
6,EvoBagging,55,1.0,0.0,0.01794871794871795,0.03253481420628082
6,BaggingClassifier,60,0.9980392156862745,0.005882352941176482,0.015384615384615385,0.03076923076923077
6,RandomForestClassifier,60,0.9973856209150327,0.0066653849850886225,0.005128205128205128,0.019187986598840728
6,ExtraTreesClassifier,60,1.0,0.0,0.0,0.0
6,EvoBagging,60,1.0,0.0,0.04358974358974359,0.055053616804061255
6,BaggingClassifier,65,0.9986928104575163,0.004891055407547646,0.005128205128205128,0.019187986598840724
6,RandomForestClassifier,65,0.9973856209150327,0.008370097042395882,0.0,0.0
6,ExtraTreesClassifier,65,1.0,0.0,0.0,0.0
6,EvoBagging,65,1.0,0.0,0.015384615384615385,0.03076923076923077
6,BaggingClassifier,70,1.0,0.0,0.007692307692307693,0.02307692307692308
6,RandomForestClassifier,70,0.9993464052287582,0.003519715560218637,0.0,0.0
6,ExtraTreesClassifier,70,1.0,0.0,0.0,0.0
6,EvoBagging,70,1.0,0.0,0.048717948717948725,0.04650860806978732
6,BaggingClassifier,75,1.0,0.0,0.005128205128205128,0.01918798659884073
6,RandomForestClassifier,75,1.0,0.0,0.002564102564102564,0.013808114890088471
6,ExtraTreesClassifier,75,1.0,0.0,0.0,0.0
6,EvoBagging,75,1.0,0.0,0.03846153846153846,0.04328703337470291
6,BaggingClassifier,80,1.0,0.0,0.010256410256410256,0.026148818018424544
6,RandomForestClassifier,80,0.9993464052287582,0.0035197155602186376,0.005128205128205128,0.01918798659884073
6,ExtraTreesClassifier,80,1.0,0.0,0.0,0.0
6,EvoBagging,80,1.0,0.0,0.041025641025641026,0.04321102447782748
