Dataset_name,optimal_number_of_bags,maximal_score
mnist,35,0.9098576292169607
breast_cancer,80,0.9648967551622418
abalone,60,0.6049832392631006
red_wine,65,0.8692927115987461
pima,20,0.770902300314065
car,65,0.763371031247382
tic-tac-toe,75,0.8550556282722512
ionosphere,95,0.9316700201207244
churn,40,0.9541999999999999
flare,15,0.8208240094774254
ring,85,0.945135135135135
two-spiral,10,0.1757085020242915
